sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship	fulfillment-channel
A1106/B1106/D1106				36		
A1115				123		
A1115/B1115				123		
A1115/B1115/D1115				89		
A1117				40		
A1117/B1049				40		
A1117/B1049/D1049				0		
A1118				90		
A1118/B1035				86		
A1118/B1035/D1047				57		
A1119				31		
A1119/B1070				31		
A1119/B1070/D1070				31		
A1120				78		
A1120/B1040				33		
A1120/B1040/D1093				33		
A1136				88		
A1136/B1136				79		
A1136/B1153				88		
A1136/B1153/C1153				26		
A1136/B1153/C1153/D1153				26		
A1136/B1153/D1153				31		
A1167				334		
A1167/B1167				58		
A1167/B1172				70		
A1167/B1199				71		
A1200				122		
A1200/B1200				122		
A1200/B1200/C1200				122		
A1200/B1200/C1200/D1200				122		
A1200/B1200/C1200/E1200				122		
A1200/B1200/D1200				122		
A1200/B1200/E1200				122		
A1213				108		
A1213/B1046				108		
A1213/B1046/D1046				51		
A1213/B1046/D1181				78		
A1245				39		
A1246				104		
A1246/B1172-P				40		
A1246/B1199-P				39		
A1246/B1246				70		
A2012				23		
A2012/B2012				23		
A2015				73		
A2015/B2015				45		
A2015/B2015/C2015				45		
A2015/B2020				20		
A2015/B2097				73		
A2015/B2099				34		
A2019				38		
A2019/B2019				38		
A2019/B2019/D2051				27		
A2021				36		
A2021/B2021				36		
A2022				20		
A2022/B2022				20		
A2022/B2041				20		
A2036				81		
A2036/B2036				81		
A2036/B2036/C2036				81		
A2038				19		
A2038/B2037				19		
A2038/B2037/C2037				19		
A2038/B2037/C2037/D2057				19		
A2038/B2037/D2057				19		
A2040				50		
A2040/B2040				48		
A2040/B2040/D2093				32		
A2043				274		
A2043/B2043				118		
A2043/B2043/D2043				90		
A2043/B2043/D2044				70		
A2043/B2044				274		
A2043/B2044/D2043				90		
A2043/B2044/D2044				70		
A2043/B2044-P				9		
A2043/B2044-P/D2043				9		
A2043/B2044-P/D2044				9		
A2043/B2326				207		
A2043/B2326/D2043				90		
A2043/B2326/D2044				70		
A2046				126		
A2046/B2046				126		
A2046/B2046/D2046				79		
A2046/B2046/D2181				49		
A2049				26		
A2049/B2049				26		
A2049/B2049/D2049				26		
A2056				51		
A2056/B2056				51		
A2070				21		
A2070/B2070				21		
A2070/B2070/D2070				21		
A2087				36		
A2087/B2087				36		
A2101				20		
A2101/B2007				20		
A2102				49		
A2102/B2102				31		
A2102/B2102/D0102				31		
A2103				221		
A2103/B2103				209		
A2103/B2103/D2103				115		
A2106				132		
A2106/B2106				132		
A2106/B2106/D2106				99		
A2108				67		
A2108/B2022				39		
A2108/B2041				29		
A2117				63		
A2117/B2049				33		
A2117/B2049/D2049				33		
A2119				34		
A2119/B2070				34		
A2119/B2070/D2070				32		
A2128				362		
A2128/B2083				283		
A2128/B2083/C2083				229		
A2128/B2083/C2083/D2128				229		
A2128/B2083/D2128				283		
A2128/B2128				101		
A2128/B2128/D2128				101		
A2152				116		
A2152/B2152				116		
A2152/B2152/C2152				116		
A2152/B2152/C2152/D2152				116		
A2152/B2152/D2152				116		
A2167				83		
A2167/B2167				77		
A2167/B2172				83		
A2167/B2188				83		
A2167/B2199				83		
A2174				449		
A2174/B2174				449		
A2178				147		
A2178/B2178				147		
A2182				70		
A2182/B2182				70		
A2200				69		
A2200/B2200				69		
A2200/B2200/C2200				69		
A2200/B2200/C2200/D2200				69		
A2200/B2200/C2200/E2200				69		
A2200/B2200/D2200				69		
A2200/B2200/E2200				69		
A2213				138		
A2213/B2046				126		
A2213/B2046/D2046				79		
A2213/B2046/D2181				49		
A2246				117		
A2246/B2172-P				40		
A2246/B2199-P				40		
A2246/B2246				80		
B0007				53		
B0010				4		
B0012				77		
B0015				0		
B0019				65		
B0020				481		
B0021				47		
B0022				84		
B0026				58		
B0027				28		
B0028				518		
B0033				148		
B0035				141		
B0036				97		
B0037				110		
B0040				232		
B0041				94		
B0042				311		
B0043				66		
B0044				1055		
B0044-P				0		
B0046				1400		
B0047				536		
B0048				859		
B0049				47		
B0050				77		
B0052				25		
B0055				62		
B0056				327		
B0070				390		
B0071				650		
B0073				57		
B0079				88		
B0082				1065		
B0083				253		
B0084				66		
B0086				109		
B0087				86		
B0088				48		
B0089				38		
B0091				56		
B0097				114		
B0098				89		
B0099				106		
B0102				52		
B0103				208		
B0104				64		
B0106				581		
B0109				68		
B0114				318		
B0115				512		
B0121				187		
B0122				0		
B0123				45		
B0124				44		
B0125				87		
B0128				108		
B0129				226		
B0130				122		
B0131				525		
B0133				278		
B0134				272		
B0135				93		
B0136				506		
B0137				94		
B0138				83		
B0141				118		
B0145				119		
B0146				112		
B0147				68		
B0148				195		
B0150				141		
B0151				330		
B0152				340		
B0153				302		
B0155				205		
B0157				42		
B0158				62		
B0159				271		
B0160				257		
B0163				124		
B0164				262		
B0165				76		
B0166				177		
B0167				1275		
B0168				111		
B0169				194		
B0170				119		
B0172				102		
B0172-P				23		
B0173				278		
B0174				253		
B0175				131		
B0176				111		
B0178				174		
B0179				147		
B0182				115		
B0183				291		
B0187				103		
B0188				750		
B0189				100		
B0190				137		
B0191				538		
B0192				179		
B0193				10		
B0194				258		
B0195				60		
B0196				111		
B0197				381		
B0198				224		
B0199				124		
B0199-P				12		
B0200				668		
B0201				132		
B0203				183		
B0206				408		
B0207				479		
B0210				187		
B0211				395		
B0214				226		
B0215				147		
B0216				510		
B0217				155		
B0218				104		
B0220				283		
B0221				69		
B0222				173		
B0223				193		
B0224				163		
B0225				343		
B0227				211		
B0228				114		
B0230				521		
B0232				419		
B0235				402		
B0236				243		
B0239				241		
B0240				169		
B0242				456		
B0243				189		
B0246				875		
B0248				289		
B0250				69		
B0255				110		
B0257				181		
B0259				272		
B0263				255		
B0264				342		
B0272				154		
B0280				286		
B0291				441		
B0310				732		
B0326				11		
B1010				49		
B1015				3		
B1019				43		
B1020				45		
B1021				20		
B1026				27		
B1027				52		
B1028				39		
B1035				86		
B1036				31		
B1040				33		
B1043				52		
B1044				239		
B1044-P				0		
B1046				138		
B1049				41		
B1056				48		
B1070				55		
B1079				0		
B1082				33		
B1083				65		
B1087				50		
B1099				7		
B1102				75		
B1103				12		
B1106				36		
B1109				55		
B1115				154		
B1136				79		
B1153				120		
B1167				58		
B1172				70		
B1172-P				40		
B1199				71		
B1199-P				39		
B1200				123		
B1246				70		
B1326				137		
B2007				43		
B2012				37		
B2015				45		
B2019				48		
B2020				20		
B2021				61		
B2022				39		
B2036				91		
B2037				24		
B2040				48		
B2041				29		
B2043				118		
B2044				305		
B2044-P				9		
B2046				126		
B2049				33		
B2056				52		
B2070				38		
B2083				283		
B2087				50		
B2097				93		
B2099				34		
B2102				31		
B2103				209		
B2106				144		
B2128				101		
B2152				141		
B2167				77		
B2172				104		
B2172-P				40		
B2174				449		
B2178				209		
B2182				77		
B2188				227		
B2199				88		
B2199-P				40		
B2200				70		
B2246				80		
B2326				207		
C0010				0		
C0015				49		
C0036				161		
C0037				127		
C0071				237		
C0082				928		
C0083				124		
C0084				0		
C0114				109		
C0131				340		
C0152				285		
C0153				197		
C0158				57		
C0166				104		
C0183				121		
C0184				163		
C0185				105		
C0186				219		
C0191				232		
C0200				396		
C0219				133		
C0223				216		
C0229				396		
C0232				358		
C0233				97		
C0239				260		
C0242				345		
C0248				236		
C0257				190		
C0272				169		
C1010				63		
C1015				75		
C1036				51		
C1082				51		
C1083				69		
C1153				26		
C1200				134		
C2015				54		
C2036				85		
C2037				80		
C2083				229		
C2152				211		
C2200				113		
D0010				124		
D0013				45		
D0014				37		
D0015				0		
D0016				0		
D0019				0		
D0020				0		
D0021				55		
D0027				38		
D0027-R				0		
D0028				0		
D0030				16		
D0032				0		
D0036				76		
D0040				80		
D0043				114		
D0044				102		
D0045				83		
D0046				312		
D0047				100		
D0048				0		
D0049				79		
D0049-R				0		
D0050				79		
D0051				7		
D0052				66		
D0055				83		
D0056				23		
D0057				48		
D0070				249		
D0071				67		
D0072				133		
D0073				96		
D0074				45		
D0075				54		
D0076				95		
D0077				32		
D0078				28		
D0079				87		
D0082				720		
D0083				156		
D0084				67		
D0087				67		
D0093				94		
D0102				65		
D0103				157		
D0104				21		
D0106				354		
D0111				33		
D0112				182		
D0113				96		
D0114				63		
D0115				818		
D0120				29		
D0122				63		
D0123				83		
D0124				59		
D0125				30		
D0128				532		
D0129				225		
D0130				25		
D0131				138		
D0133				18		
D0134				229		
D0135				65		
D0137				50		
D0138				42		
D0139				111		
D0140				122		
D0142				130		
D0143				77		
D0145				119		
D0147				60		
D0150				422		
D0151				307		
D0152				87		
D0153				102		
D0157				64		
D0158				67		
D0159				122		
D0162				49		
D0165				88		
D0168				281		
D0169				78		
D0170				208		
D0171				129		
D0173				306		
D0180				65		
D0181				134		
D0183				120		
D0187				122		
D0189				131		
D0191				271		
D0192				292		
D0193				42		
D0194				67		
D0195				43		
D0196				158		
D0198				144		
D0200				351		
D0202				260		
D0203				256		
D0204				42		
D0205				82		
D0206				118		
D0208				150		
D0209				112		
D0210				108		
D0214				217		
D0215				147		
D0218				183		
D0222				53		
D0223				305		
D0224				189		
D0225				247		
D0230				395		
D0235				28		
D0236				186		
D0237				238		
D0242				292		
D0243				301		
D0244				262		
D0250				528		
D0251				258		
D0255				159		
D0256				156		
D0257				173		
D0261				0		
D0263				146		
D0264				258		
D0266				260		
D0267				138		
D0269				255		
D0278				148		
D0280				138		
D0300				273		
D0301				15		
D0304				151		
D0310				164		
D0312				266		
D0313				274		
D1014				67		
D1043				57		
D1044				108		
D1046				51		
